大方,generous   liberal    munificent   openhanded  
过时的,antiquated archaic  antediluvian  anachronistic  outdated  outmoded  outworn  obsolete  prehistoric  rusty  dated  fossilized   medieval  moribund  moth-eaten  
当代的,contemporary  current  modern   recent  
可感知的,palpable   perceptible  sensible  appreciable  apprehensible  discernible  distinguishable  detectable 
不可感知的,impalpable     imperceptible  insensible  inappreciable  indiscernible   indistinguishable  undetectable  
客观公正的,disinterested  evenhanded  equal just  impartial  nonpartisan  unprejudiced  unbiased  objective  square  dispassionate 
主观偏见的,inequitable  one-sided  unjust  partial  partisan  prejudiced  jaundiced  biased  nonobjective  tendentious  bigot 
串通/密谋,connive collude  conspire  contrive  machinate  plot intrigue  
合作,synergic  unite band concert  concur  conjoin  collaborate  cooperate
不高兴的 ,lachrymose  lugubrious lamentable  dire  doleful dejected depressing  careworn  crestfallen  bleak  umbrage 
高兴的,agreeable  enjoyable  elated convivial  delighted  lighthearted  rejoiced  ecstasy  bliss euphoria  rapture 
善变的,volatile variable  vagary  mercurial  metamorphous  protean  whimsical  capricious fickle  inconstant  erratic  labile  fluctuating fluid 
坚定的,staunch  steadfast  stalwart  resolute  constant  pertinacious  adamant  immutable  unvarying uncompromising 
冷漠,apathetic uninterested  unconcerned  halfhearted  thick-skinned  indifferent frosty  glacial  incurious perfunctory  torpid  nonchalant 
关心,concern  interest  regard  preoccupation  absorption  solicitous  
镇静的,sedate  tranquil   aplomb   composed  collected  recollected  possessed  unperturbed  unruffled  undisturbed  unflappable 
不安的,upset  tumultuous   flappable  flustered  agitated  discomposed  disturbed  perturbed  
削弱,enervate    enfeeble   undercut   undermine   debilitate   impair  sap  
支持,advocate  bolster  brace  buttress  undergird  underpin  uphold  fortify  champion  sustain   
尘世的,worldly     earthborn    earthbound   secular  sublunary   terrestrial  temporal   carnal  fleshly  material  mundane  
非人间的,unworldly  unearthly  otherworldly   heavenly  metaphysical  ethereal  transcendental  preternatural 
无效的,ineffective  ineffectual  inefficacious  inefficient  inexpedient   counterproductive    feckless hamstrung  
有效的,effective  effectual   efficacious  efficient  expedient potent telling 
残忍的,ruthless   relentless   unrelenting   inexorable  inclement    unsparing  merciless   ironfisted 
  仁慈的,relenting  charitable   clement    merciful   lenient  
无关的， 不重要的,extraneous  marginal  nominal  negligible  tangent  trivial  trifling  irrelevent irrelative   immaterial  inapplicable  impertinent  inconsequential  
相关的，重要的,applicable   apposite   apropos  relevant  relative  cogent  germane pertinent 
难懂的,arcane abstruse  esoteric  elusive  enigmatic  inaccessible inscrutable  impenetrable  uncanny  unfathomable  hermetic  cryptic  vague  opaque   occult  recondite  
易懂的,apprehensible   accessible   intelligible   understandable   plain   explicit  manifest   transparent   translucent  pellucid  lucid   luminous  
创新的,ingenious   innovative  inventive   original  novel   creative 
陈腐的,commonplace  cliche banal  bromide   threadbare  trite  timeworn  hackneyed  stereotyped   platitude 
平息，抚慰,appease   disarm   defuse   taper  lull   pacify    placate   propitiate  mollify   reconcile  conciliate  calm   console  solace   soothe   settle   salve   subdue .
煽动，刺激,agitate  ignite inflame  infuriate   irritate  nettle  ruffle  rile  roil   fret   vex   exhilarate    provoke   peeve  pique  gadfly   goad   gall   galvanize   incendiary  
正直,rectitude   righteousness  uprightness scrupulousness   integrity  incorruptibility   probity 
卑鄙的,despicable    deplorable    baseness
成功的,eminent   prominent  preeminent  famed   celebrated   renowned  distinguished   illustrious  notable 
平庸的,mediocre  obscure  average  undistinguished  unsuccessful   unsung 
本能的,automatic   natural   impulsive  impetuous  instinctive   involuntary spontaneous 
蓄意的,deliberate   intended   measured  considered  calculated  planned   premeditated  
一致的,coherent   correspondent  congruent  compatible  conformable  concordant   consonant  accordant  harmonious  
不一致,disaccord   dissent  disharmony  distinction  divergence  diversity  disparity  discrepancy  division   unlikeness  schism  variance 
同意,assent   accede  acquiesce  consent  concur  cachet  endorse  subscribe 
不同意,demur   dissent  object  challenge  remonstrate  protest   exception 
意外的,fortuitous   fluky   inadvertent   incidental  accidental  unintended  unintentional   unpremeditated   unaware  unwitting  serendipitous  backfire 
蓄意的,deliberate  calculated   considered   measured  intended  planned  premeditated  
不高兴的 ,sullen  sulky   saturnine  glum gloomy  morose  melancholy  hangdog  weepy  woeful  grieve  
高兴的,buoyant   blithe  glee  mirthful  cheerful  exult  sanguine  jocund  jocular    jubilant  jovial  
简朴的,abstemious  austere  ascetic  spartan  spare  stark   stoic  unadorned  undecorated  unembellished  unglazed  plain  temperate 
奢华的,pompous  plush  palatial  lavish  luxurious  luxuriant  deluxe  sumptuous  opulent  baroque  indulgent 
不吸引人的,humdrum  stodgy  soporific  mundane  pedestrian   prosaic  tiresome  dull   boring   ennui 
吸引人的,intriguing  involving  captivating  fascinating  appealing   mesmerizing  entrancing  enthralling  riveting  gripping 
混乱,anarchy   agitation  disarray  disorder  tumult  turbulence  turmoil  commotion  ferment  havoc  hubbub 
平静,calm  ease  peacefulness  quiescence  quietude  tranquility  serenity 
多产的,lush  luxuriant  fecund fertile  fruitful  productive  prolific  verdant  cornucopian 
贫瘠的,barren  fruitless unproductive  infertile  sterile  effete  desolate  impoverished  depleted  drained  exhausted 
傲慢的,haughty  hauteur  hubris  overweening  overbearing  assuming  arrogant  vainglorious  imperious  supercilious  bumptious  pompous  pretentious  pontifical presumptuous 
谦虚的,humble lowly  meek  modest  unassertive  unassuming  unostentatious  unpretentious  down-to-earth  self-effacing
热情的,enthusiastic  ebullient  exuberant  effervescent  effusive  fervent  fervid  perfervid  impassioned  boiling  vivacious 
冷漠的,tepid torpid  numb  lukewarm  halfhearted  phlegmatic  impassive  affectless  undemonstrative torpor 
抨击,diatribe rant tirade  harangue  jeremiad  philippic  animadversion  invective
赞颂,accolade acclaim  applaud  compliment  commendation  praise  panegyric  tribute  encomium  eulogy  
节俭,economical  frugal   provident  sparing   thrift
浪费,sumptuous  spendthrift  extravagant  improvident  lavish  dissolute  profligate  prodigal  dissipate  squander 
不吸引人的,insipid  vapid  jaded  jejune  dreary  monotonous  tedious  wearisome  bland  
吸引人的,absorbing  alluring  arresting  engaging  engrossing  enchanting  agog  charismatic  snappy  personable 
假,phony  sham false  fake  forged  bogus  pseudo  counterfeit  spurious  specious  apocryphal  hypocritical  fiction  invention 
真,verisimilar veracious  veritable  factual  authentic  bona-fide  genuine  credible  unfeigned  documentary  realistic 
信,credit  credence  conviction  faith  doubtless  trustworthy 
不信,dubious  suspicious  skeptical  paranoid  leery  implausible  incredible  discredit  doubt 
苛求的,demanding  exacting  fastidious  finical  fussy  meticulous  scrupulous  painstaking  punctilious pernickety  picky 
敷衍的,cursory perfunctory  undemanding  slipshod 
,
,
,
,
,
,
,
,
,
,
,
,
